Number,Frage,Antwort
29,Ich gehe zum PCC.,Wie gefällt es dir bis jetzt?
30,Wie gefällt es dir bis jetzt?,Ich mag es bis jetzt. Mein Unterricht läuft im Moment ziemlich gut.
31,Ich mag es bis jetzt. Mein Unterricht läuft im Moment ziemlich gut.,Ich wünsche Ihnen Glück.
32,Es ist heute ein hässlicher Tag.,"Ich weiß. Ich glaube, es könnte regnen."
33,"Ich weiß. Ich glaube, es könnte regnen.","Es ist mitten im Sommer, es sollte heute nicht regnen."
34,"Es ist mitten im Sommer, es sollte heute nicht regnen.",das wäre verrückt.
35,das wäre verrückt.,"Ja, vor allem, da es draußen neunzig Grad sind."
36,"Ja, vor allem, da es draußen neunzig Grad sind.","Ich weiß, es wäre schrecklich, wenn es regnen würde und es draußen heiß wäre."
37,"Ich weiß, es wäre schrecklich, wenn es regnen würde und es draußen heiß wäre.",ja das würde es.
38,ja das würde es.,"Ich wünschte wirklich, es wäre nicht jeden Tag so heiß."
39,"Ich wünschte wirklich, es wäre nicht jeden Tag so heiß.",Ich auch. Ich kann den Winter kaum erwarten.
40,Ich auch. Ich kann den Winter kaum erwarten.,"Ich mag den Winter auch, aber manchmal wird es zu kalt."
41,"Ich mag den Winter auch, aber manchmal wird es zu kalt.",Mir ist lieber kalt als heiß.
42,Mir ist lieber kalt als heiß.,Ich auch.
43,Heute sieht es draußen nicht sehr schön aus.,"sie haben Recht. Ich glaube, es wird später regnen."
44,"sie haben Recht. Ich glaube, es wird später regnen.",Mitten im Sommer sollte es nicht regnen.
45,Mitten im Sommer sollte es nicht regnen.,das scheint nicht richtig zu sein.
46,das scheint nicht richtig zu sein.,"Wenn man bedenkt, dass es draußen über dreißig Grad ist, wäre das seltsam."
47,"Wenn man bedenkt, dass es draußen über dreißig Grad ist, wäre das seltsam.","Genau, es wäre nicht schön, wenn es anfangen würde zu regnen. es ist zu heiß."
48,"Genau, es wäre nicht schön, wenn es anfangen würde zu regnen. es ist zu heiß.","Ich weiß, du hast vollkommen recht."
49,"Ich weiß, du hast vollkommen recht.","Ich wünschte, es würde eines Tages abkühlen."
50,"Ich wünschte, es würde eines Tages abkühlen.","So geht es mir, ich möchte, dass der Winter bald kommt."
51,"So geht es mir, ich möchte, dass der Winter bald kommt.","Ich genieße den Winter, aber manchmal wird es wirklich kalt."
52,"Ich genieße den Winter, aber manchmal wird es wirklich kalt.","Ich weiß, was du meinst, aber mir ist lieber kalt als heiß."
53,"Ich weiß, was du meinst, aber mir ist lieber kalt als heiß.",Genau so geht es mir.
54,"Ich wünschte, es wäre heute ein schönerer Tag.","das ist wahr. Ich hoffe, es regnet nicht."
55,"das ist wahr. Ich hoffe, es regnet nicht.",Es würde mitten im Sommer nicht regnen.
56,Es würde mitten im Sommer nicht regnen.,"Es wäre nicht richtig, wenn es jetzt anfangen würde zu regnen."
57,"Es wäre nicht richtig, wenn es jetzt anfangen würde zu regnen.","Es wäre seltsam, wenn es bei 30 Grad Celsius anfangen würde zu regnen."
58,"Es wäre seltsam, wenn es bei 30 Grad Celsius anfangen würde zu regnen.",Jeder Regen wäre jetzt sinnlos.
59,Jeder Regen wäre jetzt sinnlos.,"Das stimmt, das wäre es wirklich."
60,"Das stimmt, das wäre es wirklich.","Ich möchte, dass es etwas abkühlt."
61,"Ich möchte, dass es etwas abkühlt.","Ich weiß, was du meinst, ich kann es kaum erwarten, bis der Winter ist."
62,"Ich weiß, was du meinst, ich kann es kaum erwarten, bis der Winter ist.","Der Winter ist großartig. Ich wünschte, es würde manchmal nicht so kalt werden."
63,"Der Winter ist großartig. Ich wünschte, es würde manchmal nicht so kalt werden.",Ich beschäftige mich lieber mit dem Winter als mit dem Sommer.
64,Es ist so ein schöner Tag.,"Ja, so ist es."
65,"Ja, so ist es.","es sieht so aus, als ob es bald regnen könnte."
66,"es sieht so aus, als ob es bald regnen könnte.","Ja, und ich hoffe, dass es so ist."
67,"Ja, und ich hoffe, dass es so ist.",Warum das?
68,Warum das?,"Ich liebe es wirklich, wie Regen die Luft reinigt."
69,"Ich liebe es wirklich, wie Regen die Luft reinigt.",Ich auch. Nach dem Regen riecht es immer so frisch.
70,Ich auch. Nach dem Regen riecht es immer so frisch.,"Ja, aber ich liebe die Nachtluft nach dem Regen."
71,"Ja, aber ich liebe die Nachtluft nach dem Regen.",Wirklich? warum ist es?
72,Wirklich? warum ist es?,weil man die Sterne perfekt sehen kann.
73,weil man die Sterne perfekt sehen kann.,"Ich hoffe wirklich, dass es heute regnet."
74,"Ich hoffe wirklich, dass es heute regnet.",Ja ich auch.
75,Ist es nicht ein schöner Tag?,ist es wirklich.
76,ist es wirklich.,"es scheint, dass es heute regnen könnte."
77,"es scheint, dass es heute regnen könnte.",hoffentlich wird es so sein.
78,hoffentlich wird es so sein.,wie kommts?
79,wie kommts?,"Mir gefällt, wie klar der Himmel wird, nachdem es geregnet hat."
80,"Mir gefällt, wie klar der Himmel wird, nachdem es geregnet hat.","Ich fühle das gleiche. Es riecht so gut, nachdem es geregnet hat."
81,"Ich fühle das gleiche. Es riecht so gut, nachdem es geregnet hat.","Ich liebe besonders die Nachtluft, wenn es regnet."
82,"Ich liebe besonders die Nachtluft, wenn es regnet.",Wirklich? Warum?
83,Wirklich? Warum?,Die Sterne blicken nach dem Regen so viel näher.
84,Die Sterne blicken nach dem Regen so viel näher.,"Ich möchte wirklich, dass es heute regnet."
85,"Ich möchte wirklich, dass es heute regnet.","Ja, das tue ich auch."
86,Findest du es nicht schön draußen?,ja glaube ich auch.
87,ja glaube ich auch.,"Ich glaube, dass es regnen wird."
88,"Ich glaube, dass es regnen wird.","Ich hoffe, dass es regnet."
89,"Ich hoffe, dass es regnet.",Magst du den Regen?
90,Magst du den Regen?,Der Himmel sieht nach dem Regen so sauber aus. ich liebe es.
91,Der Himmel sieht nach dem Regen so sauber aus. ich liebe es.,Ich verstehe. Regen lässt es sauberer riechen.
92,Ich verstehe. Regen lässt es sauberer riechen.,"Am meisten gefällt mir, wie es nachts ist, nachdem es geregnet hat."
93,"Am meisten gefällt mir, wie es nachts ist, nachdem es geregnet hat.",wie kommts?
94,how come?,Nach dem Regen sieht man die Sterne viel deutlicher.
95,Nach dem Regen sieht man die Sterne viel deutlicher.,"Ich würde mich freuen, wenn es heute regnen würde."
96,Ich möchte dieses Wochenende unbedingt an den Strand gehen.,das klingt nach Spaß. Wie wird das Wetter?
97,das klingt nach Spaß. Wie wird das Wetter?,"Ich habe gehört, dass es dieses Wochenende warm sein wird."
98,"Ich habe gehört, dass es dieses Wochenende warm sein wird.",Wird es perfektes Strandwetter sein?
99,Wird es perfektes Strandwetter sein?,Ich glaube schon.
100,Ich glaube schon.,"Gut. Ich hoffe, dass es dieses Wochenende nicht abkühlt."
101,"Gut. Ich hoffe, dass es dieses Wochenende nicht abkühlt.",Ich weiß. Ich möchte wirklich an den Strand gehen.
102,Ich weiß. Ich möchte wirklich an den Strand gehen.,"Aber Sie wissen, dass das Wetter in Kalifornien wirklich unvorhersehbar ist."
103,"Aber Sie wissen, dass das Wetter in Kalifornien wirklich unvorhersehbar ist.",sie haben Recht. In einer Minute ist es heiß und in der nächsten Minute ist es kalt.
104,sie haben Recht. In einer Minute ist es heiß und in der nächsten Minute ist es kalt.,"Ich wünschte wirklich, das Wetter würde einfach gleich bleiben."
105,"Ich wünschte wirklich, das Wetter würde einfach gleich bleiben.",ich auch. Auf diese Weise können wir unsere Aktivitäten im Voraus planen.
106,ich auch. Auf diese Weise können wir unsere Aktivitäten im Voraus planen.,"Ja, das würde die Sache viel einfacher machen."
107,Ich möchte dieses Wochenende einen Ausflug an den Strand machen.,Ein Ausflug an den Strand würde Spaß machen. Wie wird das Wetter?
108,Ein Ausflug an den Strand würde Spaß machen. Wie wird das Wetter?,"Die Wettervorhersage sagt, dass es am Wochenende warm sein wird."
109,"Die Wettervorhersage sagt, dass es am Wochenende warm sein wird.","Glauben Sie also, dass es das perfekte Wetter für den Strand sein wird?"
110,"Glauben Sie also, dass es das perfekte Wetter für den Strand sein wird?","es hört sich so an, als ob es so sein wird."
111,"es hört sich so an, als ob es so sein wird.","Ich hoffe wirklich, dass es nicht kalt wird."
112,"Ich hoffe wirklich, dass es nicht kalt wird.","Das würde alles ruinieren, ich möchte unbedingt dorthin."
113,"Das würde alles ruinieren, ich möchte unbedingt dorthin.","Das Wetter in Kalifornien ist unvorhersehbar, man weiß es also nie."
114,"Das Wetter in Kalifornien ist unvorhersehbar, man weiß es also nie.",das ist wahr. Das Wetter ändert sich ständig.
115,das ist wahr. Das Wetter ändert sich ständig.,"Es wäre schön, wenn sich das Wetter nie ändern würde."
116,"Es wäre schön, wenn sich das Wetter nie ändern würde.","Das wäre toll, dann könnten wir die Dinge früher planen."
117,"Das wäre toll, dann könnten wir die Dinge früher planen.",WAHR. Vorhersehbares Wetter würde das Leben einfacher machen.
118,"Es wäre schön, dieses Wochenende irgendwann an den Strand zu gehen.",Wie wird das Wetter? Vielleicht möchte ich auch gehen.
119,Wie wird das Wetter? Vielleicht möchte ich auch gehen.,Das Wetter soll dieses Wochenende warm sein.
120,Das Wetter soll dieses Wochenende warm sein.,Wird es gutes Strandwetter sein?
121,Wird es gutes Strandwetter sein?,"Ich denke, es wird."
122,"Ich denke, es wird.","Es wäre nicht gut, wenn es dieses Wochenende kalt würde."
123,"Es wäre nicht gut, wenn es dieses Wochenende kalt würde.","Ich möchte, dass diese Reise perfekt wird, ich hoffe, dass es warm bleibt."
124,"Ich möchte, dass diese Reise perfekt wird, ich hoffe, dass es warm bleibt.","Dieses kalifornische Wetter ist so ungewiss, dass man unmöglich wissen kann, was passieren wird."
125,"Dieses kalifornische Wetter ist so ungewiss, dass man unmöglich wissen kann, was passieren wird.",Ich weiß. Jeden Tag scheint das Wetter anders zu sein.
126,Ich weiß. Jeden Tag scheint das Wetter anders zu sein.,"Ich würde es lieben, wenn es nicht immer so unvorhersehbar wäre."
127,"Ich würde es lieben, wenn es nicht immer so unvorhersehbar wäre.","Das würde es uns leichter machen, Pläne zu schmieden."
128,"Hallo, kann ich bitte mit Alice sprechen?",das ist sie. wie geht's?
129,das ist sie. wie geht's?,"Ich habe den ganzen Tag versucht, dich anzurufen."
130,"Ich habe den ganzen Tag versucht, dich anzurufen.",Das tut mir leid. Ich habe aufgeräumt.
131,Das tut mir leid. Ich habe aufgeräumt.,Es ist okay.
132,Es ist okay.,Also warum hast du mich angerufen?
133,Also warum hast du mich angerufen?,"Oh, ich wollte nur sehen, ob du morgen etwas abhängen willst."
134,"Oh, ich wollte nur sehen, ob du morgen etwas abhängen willst.","Klar, was wolltest du machen?"
135,"Klar, was wolltest du machen?",Vielleicht können wir uns einen Film oder so etwas ansehen.
136,Vielleicht können wir uns einen Film oder so etwas ansehen.,das klingt nach Spaß. lass es uns tun.
137,das klingt nach Spaß. lass es uns tun.,Dann sehen wir uns morgen.
138,Dann sehen wir uns morgen.,bis dann. Verabschiedung.
139,"Hallo, wie geht es dir. Ist Alice da?",Apropos. was ist los?
140,Apropos. was ist los?,Warum bist du nicht ans Telefon gegangen?
141,Warum bist du nicht ans Telefon gegangen?,"Mein Fehler, ich hatte Aufgaben zu erledigen."
142,"Mein Fehler, ich hatte Aufgaben zu erledigen.",das ist in Ordnung.
143,das ist in Ordnung.,Was war der Grund für Ihren Anruf?
144,Was war der Grund für Ihren Anruf?,Ich möchte morgen etwas mit dir unternehmen.
145,Ich möchte morgen etwas mit dir unternehmen.,hört sich gut an. was hattest du im Sinn?
146,hört sich gut an. was hattest du im Sinn?,"Ich habe darüber nachgedacht, mir einen Film anzusehen."
147,"Ich habe darüber nachgedacht, mir einen Film anzusehen.","Okay, lass uns ins Kino gehen."
148,"Okay, lass uns ins Kino gehen.",bis dann.
149,bis dann.,Wir reden später.
150,Ist Alice verfügbar?,Du redest mit ihr.
151,Du redest mit ihr.,Ich habe dich heute hundertmal angerufen.
152,Ich habe dich heute hundertmal angerufen.,"Ich war damit beschäftigt, etwas zu tun. Ich entschuldige mich."
153,"Ich war damit beschäftigt, etwas zu tun. Ich entschuldige mich.",Kein Problem.
154,Kein Problem.,Hast du etwas gebraucht?
155,Hast du etwas gebraucht?,Möchtest du morgen etwas unternehmen?
156,Möchtest du morgen etwas unternehmen?,"Gibt es einen besonderen Ort, an den Sie gehen wollten?"
157,"Gibt es einen besonderen Ort, an den Sie gehen wollten?",wie wäre es mit einem Film?
158,wie wäre es mit einem Film?,Ein Film klingt gut.
159,Ein Film klingt gut.,Dann ruf mich morgen an.
160,Hast du das neue Mädchen in der Schule gesehen?,"Nein, das habe ich nicht."
161,"Nein, das habe ich nicht.",Sie ist wirklich hübsch.
162,Sie ist wirklich hübsch.,beschreibe sie mir.
163,beschreibe sie mir.,sie ist nicht zu groß.
164,sie ist nicht zu groß.,"Na, wie groß ist sie?"
165,"Na, wie groß ist sie?","Sie ist sogar etwa 1,50 Meter groß."
166,"Sie ist sogar etwa 1,50 Meter groß.",Aber wie sieht sie aus?
167,Aber wie sieht sie aus?,Sie hat hübsche hellbraune Augen.
168,Sie hat hübsche hellbraune Augen.,"Ich weiß vielleicht, von welchem ​​Mädchen du redest."
169,"Ich weiß vielleicht, von welchem ​​Mädchen du redest.",Also hast du sie gesehen?
170,Also hast du sie gesehen?,"Ja, ich habe."
171,"Es gibt ein neues Mädchen in der Schule, hast du sie schon gesehen?",Ich habe sie noch nicht gesehen.
172,Ich habe sie noch nicht gesehen.,Ich finde sie sehr hübsch.
173,Ich finde sie sehr hübsch.,"Sag mir, wie sie aussieht."
174,"Sag mir, wie sie aussieht.",Sie ist etwas klein.
175,Sie ist etwas klein.,Wie groß ist sie?
176,Wie groß ist sie?,"Sie ist wahrscheinlich etwa 1,50 Meter groß."
177,"Sie ist wahrscheinlich etwa 1,50 Meter groß.","Das ist schön, aber sag mir, wie sie aussieht."
178,"Das ist schön, aber sag mir, wie sie aussieht.","Das erste, was mir auffiel, waren ihre wunderschönen braunen Augen."
179,"Das erste, was mir auffiel, waren ihre wunderschönen braunen Augen.","Ich glaube, ich bin ihr vielleicht schon einmal begegnet."
180,"Ich glaube, ich bin ihr vielleicht schon einmal begegnet.","Erzählst du mir, dass du sie schon einmal gesehen hast?"
181,"Erzählst du mir, dass du sie schon einmal gesehen hast?",Ich glaube schon.
182,Hast du das neue Mädchen kennengelernt?,NEIN. hast du?
183,NEIN. hast du?,Sie ist eines der hübschesten Mädchen der Schule.
184,Sie ist eines der hübschesten Mädchen der Schule.,wie sieht sie aus?
185,wie sieht sie aus?,"Nun ja, sie ist ziemlich klein."
186,"Nun ja, sie ist ziemlich klein.",Wie groß ist sie Ihrer Meinung nach?
187,Wie groß ist sie Ihrer Meinung nach?,"Ich würde sagen, sie ist nur 1,70 m groß."
188,"Ich würde sagen, sie ist nur 1,70 m groß.",Was ist mit ihren Gesichtszügen?
189,Was ist mit ihren Gesichtszügen?,"Sie hat hellbraune Augen, einfach wunderschön."
190,"Sie hat hellbraune Augen, einfach wunderschön.","Ich glaube, ich weiß, von wem du redest."
191,"Ich glaube, ich weiß, von wem du redest.",Hast du sie gesehen?
192,Warum warst du gestern nicht in der Schule?,Mir ging es nicht wirklich gut.
193,Mir ging es nicht wirklich gut.,Was war mit dir los?
194,Was war mit dir los?,mein Magen war verärgert.
195,mein Magen war verärgert.,Fühlst du dich jetzt besser?
196,Fühlst du dich jetzt besser?,Mir geht es noch nicht wirklich gut.
197,Mir geht es noch nicht wirklich gut.,"Möchtest du etwas, damit du dich besser fühlst?"
198,"Möchtest du etwas, damit du dich besser fühlst?",Nein danke. Ich habe bereits Medikamente eingenommen.
199,Nein danke. Ich habe bereits Medikamente eingenommen.,ich hoffe du fühlst dich besser.
200,ich hoffe du fühlst dich besser.,Danke.
201,"Welchen Grund hast du dafür, dass du die Schule verpasst hast?",Ich war krank.
202,Ich war krank.,Wie warst du krank?
203,Wie warst du krank?,Ich hatte Bauchschmerzen.
204,Ich hatte Bauchschmerzen.,ist es besser geworden?
205,ist es besser geworden?,Mir geht es immer noch schlecht.
206,Mir geht es immer noch schlecht.,Möchten Sie etwas für Ihren Magen?
207,Möchten Sie etwas für Ihren Magen?,Ich habe vorhin etwas genommen.
208,Ich habe vorhin etwas genommen.,besser werden.
209,besser werden.,Vielen Dank.
210,Warum bist du gestern nicht zur Schule gegangen?,"Ich blieb zu Hause, weil es mir nicht gut ging."
211,"Ich blieb zu Hause, weil es mir nicht gut ging.",Was war dein Problem?
212,Was war dein Problem?,mein Magen störte mich.
213,mein Magen störte mich.,fühlst du dich besser?
214,fühlst du dich besser?,Mir ist immer noch etwas schlecht.
215,Mir ist immer noch etwas schlecht.,Ich gehe in den Laden. Möchtest du Pepto-Bismol?
216,Ich gehe in den Laden. Möchtest du Pepto-Bismol?,das ist okay.
217,das ist okay.,ich hoffe du fühlst dich besser.
218,Hast du die gute Nachricht gehört?,"Nein, das habe ich nicht."
219,"no, i haven't.",Ich wurde in meinem Job befördert.
220,Ich wurde in meinem Job befördert.,hast du wirklich?
221,hast du wirklich?,"Im Ernst, ich bin so aufgeregt."
222,"Im Ernst, ich bin so aufgeregt.","Nun ja, herzlichen Glückwunsch."
223,"Nun ja, herzlichen Glückwunsch.",Danke.
224,Danke.,ich freue mich so für dich.
225,ich freue mich so für dich.,Wirklich?
226,Wirklich?,Ja. Das hast du wirklich verdient.
227,Ja. Das hast du wirklich verdient.,das denkst du?
228,das denkst du?,Ja. Schön für dich.
229,Hast du meine gute Nachricht gehört?,Du hast mir noch nichts erzählt.
230,Du hast mir noch nichts erzählt.,Ich wurde Anfang dieser Woche bei der Arbeit befördert.
231,Ich wurde Anfang dieser Woche bei der Arbeit befördert.,ist das richtig?
232,ist das richtig?,es ist die Wahrheit. ich bin sehr glücklich.
233,es ist die Wahrheit. ich bin sehr glücklich.,Herzlichen Glückwunsch zu Ihrer Beförderung.
234,Herzlichen Glückwunsch zu Ihrer Beförderung.,Vielen Dank.
235,Vielen Dank.,Ich freue mich wirklich für dich.
236,Ich freue mich wirklich für dich.,bist du wirklich?
237,bist du wirklich?,Es ist mein ernst. Sie haben diese Beförderung verdient.
238,Es ist mein ernst. Sie haben diese Beförderung verdient.,"ist es das, was du wirklich denkst?"
239,"ist es das, was du wirklich denkst?","Ja, das tue ich."
240,"Ich habe dir noch nicht erzählt, was passiert ist, oder?",Ich habe nichts gehört.
241,Ich habe nichts gehört.,Mein Chef hat mir eine Beförderung angeboten und ich habe sie angenommen.
242,Mein Chef hat mir eine Beförderung angeboten und ich habe sie angenommen.,meinst du das ernst?
243,meinst du das ernst?,"Ja, ich bin wirklich aufgeregt."
244,"Ja, ich bin wirklich aufgeregt.",das ist großartig. Glückwunsch.
245,das ist großartig. Glückwunsch.,Ich weis das zu schätzen.
246,Ich weis das zu schätzen.,"Du hast keine Ahnung, wie glücklich ich für dich bin."
247,"Du hast keine Ahnung, wie glücklich ich für dich bin.",Wirklich?
248,Du siehst heute wirklich gut aus.,Danke. Ich habe dieses Outfit erst neulich bekommen.
249,Danke. Ich habe dieses Outfit erst neulich bekommen.,"Wirklich, wo hast du es her?"
250,"Wirklich, wo hast du es her?",Ich habe es von Macy's bekommen.
251,Ich habe es von Macy's bekommen.,Es ist sehr schön.
252,Es ist sehr schön.,Danke noch einmal. Du siehst heute auch gut aus.
253,Danke noch einmal. Du siehst heute auch gut aus.,Danke. Ich habe diese Schuhe erst heute bekommen.
254,Danke. Ich habe diese Schuhe erst heute bekommen.,Wirklich? Was sind das für Schuhe?
255,Wirklich? Was sind das für Schuhe?,Diese werden „All Star Chuck Taylors“ genannt.
256,Diese werden „All Star Chuck Taylors“ genannt.,Die gefallen mir wirklich gut. Wie viel haben sie gekostet?
257,Die gefallen mir wirklich gut. Wie viel haben sie gekostet?,sie kosteten ungefähr vierzig Dollar.
258,sie kosteten ungefähr vierzig Dollar.,"Ich denke, ich werde mir ein Paar kaufen."
259,"Ich liebe absolut, was du heute trägst.",du tust? Ich habe dieses Outfit erst vor ein paar Tagen gekauft.
260,du tust? Ich habe dieses Outfit erst vor ein paar Tagen gekauft.,"Im Ernst, es steht dir wirklich gut. Wo hast du es gekauft?"
261,"Im Ernst, es steht dir wirklich gut. Wo hast du es gekauft?",Ich habe es bei Macy's im Santa Anita Mall gekauft.
262,Ich habe es bei Macy's im Santa Anita Mall gekauft.,Ich mag das Outfit wirklich.
263,Ich mag das Outfit wirklich.,"Danke. Ich finde, du siehst heute auch gut aus."
264,"Danke. Ich finde, du siehst heute auch gut aus.",Danke. Ich habe diese neuen Schuhe heute erst gekauft.
265,Danke. Ich habe diese neuen Schuhe heute erst gekauft.,Die sind schön. was sind Sie?
266,Die sind schön. was sind Sie?,Das sind einige Chucks.
267,Das sind einige Chucks.,Die sind großartig. Wie viel waren sie?
268,Die sind großartig. Wie viel waren sie?,Ich habe sie für vierzig bekommen.
269,Ich habe sie für vierzig bekommen.,"Ich denke, ich könnte mir mein eigenes Paar Chucks besorgen."
270,"Ich finde, dass du heute sehr süß aussiehst.",ist das richtig? Das ist ein brandneues Outfit.
271,ist das richtig? Das ist ein brandneues Outfit.,In welchem ​​Laden hast du es gekauft?
272,In welchem ​​Laden hast du es gekauft?,Ich ging zu Macy's und habe es mir ausgesucht.
273,Ich ging zu Macy's und habe es mir ausgesucht.,Ich liebe dein Outfit im Moment.
274,Ich liebe dein Outfit im Moment.,"Na ja, ich finde, du siehst heute auch gut aus."
275,"Na ja, ich finde, du siehst heute auch gut aus.",Danke. Ich habe diese neuen Schuhe vorhin im Laden gefunden.
276,Danke. Ich habe diese neuen Schuhe vorhin im Laden gefunden.,"Ich denke, das sind wirklich schöne Schuhe. Welche Art sind sie?"
277,"Ich denke, das sind wirklich schöne Schuhe. Welche Art sind sie?",Das sind Spannfutter.
278,Das sind Spannfutter.,Deine Schuhe sehen wirklich schön aus. Für wie viel hast du sie bekommen?
279,Deine Schuhe sehen wirklich schön aus. Für wie viel hast du sie bekommen?,Sie kostet mich nur etwa vierzig Dollar.
280,"Sag mir, was machst du in deiner Freizeit gerne?",Ich genieße das Zeichnen und Malen.
281,Ich genieße das Zeichnen und Malen.,Kannst du zeichnen und malen?
282,Kannst du zeichnen und malen?,"Ja, das tue ich."
283,"Ja, das tue ich.","Wann hast du gelernt, wie man das macht?"
284,"Wann hast du gelernt, wie man das macht?",Ich habe es in der High School gelernt.
285,Ich habe es in der High School gelernt.,"Oh, du hast also einen Kunstkurs besucht?"
286,"Oh, du hast also einen Kunstkurs besucht?","Ja, ich habe diesen Kurs geliebt."
287,"Ja, ich habe diesen Kurs geliebt.","Ich sehe, dass du ziemlich talentiert bist."
288,"Ich sehe, dass du ziemlich talentiert bist.",Vielen Dank.
289,thank you very much.,"Ich wünschte, ich hätte so ein Talent."
290,"Ich wünschte, ich hätte so ein Talent.","Ich bin sicher, dass du Talent hast. Es ist einfach versteckt."
291,Was für Dinge machst du gerne?,Ich habe schon immer gerne gezeichnet und gemalt.
292,Ich habe schon immer gerne gezeichnet und gemalt.,"Ich wusste nicht, dass du zeichnen und malen kannst."
293,"Ich wusste nicht, dass du zeichnen und malen kannst.",Ich mache es ab und zu.
294,Ich mache es ab und zu.,"Wie lange weißt du schon, wie man das macht?"
295,"Wie lange weißt du schon, wie man das macht?",Ich habe es zum ersten Mal in der High School gelernt.
296,Ich habe es zum ersten Mal in der High School gelernt.,Hast du irgendeinen Kunstkurs oder so etwas besucht?
297,Hast du irgendeinen Kunstkurs oder so etwas besucht?,Das war mein Lieblingskurs.
298,Das war mein Lieblingskurs.,man muss talentiert sein.
299,man muss talentiert sein.,Danke.
300,Danke.,Wenn ich nur talentiert wäre.
301,Wenn ich nur talentiert wäre.,"Du hast ein Talent. Du weißt nur noch nicht, was es ist."
302,"Gibt es irgendwelche Hobbys, die du hast?","Wenn ich Zeit habe, zeichne und male ich manchmal."
303,"Wenn ich Zeit habe, zeichne und male ich manchmal.","Oh, das machst du tatsächlich?"
304,"Oh, das machst du tatsächlich?",Hin und wieder tue ich das.
305,Hin und wieder tue ich das.,"Wussten Sie schon immer, wie man zeichnet und malt?"
306,"Wussten Sie schon immer, wie man zeichnet und malt?",In der High School wurde mir das Zeichnen und Malen beigebracht.
307,In der High School wurde mir das Zeichnen und Malen beigebracht.,Du hattest einen Kunstkurs?
308,Du hattest einen Kunstkurs?,"Genau, es war mein Lieblingskurs."
309,"Genau, es war mein Lieblingskurs.","Nun, es ist gut, dass du so talentiert bist."
310,"Nun, es ist gut, dass du so talentiert bist.",Ich weis das zu schätzen.
311,i appreciate that.,"Talent ist eine tolle Sache, ich wünschte, ich hätte eines."
312,Was ist dein Lieblingsfilm?,Mein Lieblingsfilm ist superschlecht.
313,Mein Lieblingsfilm ist superschlecht.,Oh warum ist das?
314,Oh warum ist das?,"Es ist der lustigste Film, den ich je gesehen habe."
315,"Es ist der lustigste Film, den ich je gesehen habe.",das ist richtig. Es ist ein sehr lustiger Film.
316,das ist richtig. Es ist ein sehr lustiger Film.,Hast du es schon einmal gesehen?
317,Hast du es schon einmal gesehen?,"Ja, ich habe den Film am ersten Tag gesehen, als er in die Kinos kam."
318,"Ja, ich habe den Film am ersten Tag gesehen, als er in die Kinos kam.",Hast du nicht den ganzen Film über gelacht? Ich tat.
319,Hast du nicht den ganzen Film über gelacht? Ich tat.,Ich auch. Dieser Film hat mir Tränen in die Augen getrieben.
320,Ich auch. Dieser Film hat mir Tränen in die Augen getrieben.,meine auch.
321,meine auch.,"Ich habe es auf DVD bei mir zu Hause, falls du vorbeikommen und es dir ansehen möchtest."
322,"Ich habe es auf DVD bei mir zu Hause, falls du vorbeikommen und es dir ansehen möchtest.",Sicher Lass uns gehen.
323,Welchen Film siehst du am liebsten?,"Ich muss sagen, mein Lieblingsfilm ist superschlecht."
